lambda,q,r,qf,num_safeified,num_unsafeified,num_tox_un,num_tox_contr,dist1_base,dist2_base,dist3_base,dist1_steered,dist2_steered,dist3_steered
0.5,0.1,1,1000,187,233,350,396,0.18801256789860474,0.6179203834376248,0.8901049155882196,0.18516804237702178,0.6134283069327299,0.8809113585517011
1,0.1,1,1000,249,89,342,182,0.19228920809526354,0.6239553573812512,0.8903663355762043,0.20188535031847132,0.6340543708119952,0.9039951080309825
1.5,0.1,1,1000,284,34,330,80,0.19223664837371168,0.6219949670717996,0.891949776457045,0.20696049790422966,0.630195102123768,0.8927419149963164
2,0.1,1,1000,326,11,344,29,0.1926334184702245,0.6225466473087057,0.8885005242922055,0.19578359547107946,0.6100110151907165,0.8721948970181371
2.5,0.1,1,1000,328,1,331,4,0.19281414597441685,0.6246002526134745,0.8931201289975813,0.15457307652693378,0.539513325608343,0.807668537879178
0.5,0.1,0.1,0.1,212,120,321,229,0.19099763237193285,0.6178868350956493,0.8875854275413012,0.1916445623342175,0.6130792970642998,0.8842269040452991
1,0.1,0.1,0.1,296,37,357,98,0.19365950804671941,0.6178109104610168,0.8855366562600926,0.20627516949584543,0.6290877577549512,0.8975071370309952
1.5,0.1,0.1,0.1,318,12,344,38,0.18584331698426737,0.6132940230501206,0.8876410517569487,0.20071249709579989,0.6187783973564642,0.8831031366980767
2,0.1,0.1,0.1,343,4,351,12,0.19085439229843562,0.6214900786222388,0.8916107292808815,0.15383823567255978,0.5311390189922282,0.8021720668090692
2.5,0.1,0.1,0.1,346,0,346,0,0.19076931347777001,0.6217305986398215,0.8878494623655914,0.07054025987183708,0.3080547112462006,0.5643253375212138
0.5,0.1,1,0.1,227,96,323,192,0.19163669547479736,0.6177899455135948,0.8890380073008375,0.19839022599758796,0.6257570593324768,0.8925013109596225
1,0.1,1,0.1,273,61,347,135,0.1871544366310591,0.6150522049547736,0.8861659866867082,0.20408900820899376,0.6274104860985621,0.8898182569186287
1.5,0.1,1,0.1,305,26,348,69,0.1870493991989319,0.6150765040455018,0.8885921811578722,0.2065683992759245,0.6287982621738344,0.8907365263266784
2,0.1,1,0.1,320,17,337,34,0.19431907245750116,0.6205135135135135,0.8880780561636801,0.20142849667730625,0.6188744407524659,0.8815541601255887
2.5,0.1,1,0.1,312,3,325,16,0.1923264509835799,0.6240346836472023,0.8926132668545416,0.16869012857947852,0.5621526087958812,0.8288165983606557
0.5,0.1,10,0.1,200,147,344,291,0.18796427900989568,0.6086676678824287,0.8824523292300266,0.1912461813968187,0.6180769534644861,0.8895180405583355
1,0.1,10,0.1,195,127,322,254,0.19052221774734865,0.6220867790785093,0.8932148323174824,0.19923038401729,0.6298365840801265,0.8956482774980891
1.5,0.1,10,0.1,230,99,338,207,0.1901338555218756,0.6183003380009657,0.8903881750140837,0.20118575010447137,0.6314414814427873,0.8950530219923732
2,0.1,10,0.1,236,85,337,186,0.18889603085328618,0.6146717733079787,0.8871330619241483,0.2067104952984625,0.6386662475771386,0.9002802734630798
2.5,0.1,10,0.1,233,68,316,151,0.19061002703498486,0.6150222174634616,0.8833418101025243,0.2046422266071243,0.6367389328832922,0.9003479254297139
0.5,1,0.1,0.1,246,102,351,207,0.18704479363978338,0.6144015794247906,0.8835676742883061,0.19617631165890437,0.621686995007977,0.8887830987365225
1,1,0.1,0.1,277,39,334,96,0.18901258470474347,0.6161561836125528,0.8900392620878825,0.20562935817173106,0.6259639121472018,0.8897485493230174
1.5,1,0.1,0.1,337,8,352,23,0.19104325152549662,0.6177688172043011,0.8886798032205167,0.19577359656122106,0.6092406692406692,0.8745141445082242
2,1,0.1,0.1,345,2,348,5,0.18843138828691441,0.6133080051369864,0.8874113712374582,0.11791337080652135,0.4494607793264829,0.7229301793208699
2.5,1,0.1,0.1,322,0,323,1,0.18750166911470156,0.6155058220275612,0.8883369388136635,0.04991708934841982,0.24410466505718537,0.4934399843925279
0.5,1,1,0.1,257,66,339,148,0.18927402478939742,0.6155125694202238,0.8845514058810904,0.19987524042210325,0.6229563590050166,0.8905697650239135
1,1,1,0.1,314,35,354,75,0.19136200139582327,0.6181247147880707,0.8873080639965639,0.20573719925971623,0.6342184407372182,0.8978972803454836
1.5,1,1,0.1,319,8,340,29,0.18856379425517703,0.6180793073963232,0.8898805547390642,0.20123235317057953,0.6184545785450575,0.8819323470528587
2,1,1,0.1,333,1,336,4,0.1906275249124697,0.6157989711546231,0.8865546218487395,0.1516660986288441,0.5278433223218499,0.7970949896436905
2.5,1,1,0.1,324,2,324,2,0.19326915298115038,0.62566743972817,0.8959844664383377,0.06962970336452319,0.3034865490381505,0.5587825394455229
0.5,1,10,0.1,237,108,350,221,0.18564072463381445,0.6110458911419424,0.8832946450012007,0.19926778242677826,0.6244410157169382,0.8939536586641561
1,1,10,0.1,286,53,349,116,0.1905581245295193,0.6219384325850249,0.8889068129268162,0.2062822315986873,0.6299325397858985,0.8917743279849969
1.5,1,10,0.1,293,45,340,92,0.18882150906944295,0.6168460031663402,0.8879407502817581,0.2093397327798677,0.6344437525944375,0.8924577744337493
2,1,10,0.1,302,16,324,38,0.1915117786902961,0.6247197082263947,0.8909601772302372,0.20734689630053593,0.6264796940448005,0.8857321261317515
2.5,1,10,0.1,329,7,338,16,0.19350948654732555,0.6191879941042476,0.8867985206624859,0.1791013638615798,0.5771136494028061,0.842143695397053
0.5,10,0.1,0.1,236,109,341,214,0.18842361241014405,0.6168091929449492,0.8890670514979021,0.19854894747598612,0.6207240119561608,0.8888917275560778
1,10,0.1,0.1,306,23,350,67,0.1905872262871539,0.6185473063521844,0.8909110402315795,0.20270678965673672,0.6270887415883257,0.8947222502268374
1.5,10,0.1,0.1,315,15,323,23,0.1915294878357626,0.6179006358443798,0.8899097399973057,0.1953741426434944,0.6092674247698615,0.876250644662197
2,10,0.1,0.1,366,2,368,4,0.19049667894694383,0.619803151723767,0.8904934785531801,0.1120685233625686,0.43407791141999846,0.7110176446450553
2.5,10,0.1,0.1,348,0,348,0,0.18828104049342986,0.6157848158974496,0.8858345848530358,0.04820723966375021,0.23944904661536198,0.4923653832013921
0.5,10,1,0.1,267,73,342,148,0.19080127432870184,0.6184675519383166,0.887178388798158,0.2017455521987244,0.6231214171357744,0.8934538411878631
1,10,1,0.1,306,23,338,55,0.19101757781003065,0.6207498992070958,0.8911407375551016,0.2087624864137467,0.6306513806578504,0.8960662525879918
1.5,10,1,0.1,354,12,365,23,0.18948161705334554,0.6175275213307135,0.8893733850129198,0.19784576063427484,0.6095143706640238,0.8711301218017267
2,10,1,0.1,336,4,340,8,0.1896486892995273,0.6149713948054041,0.8874832124630674,0.11576202034808655,0.4408779857972886,0.7082945976655304
2.5,10,1,0.1,355,1,355,1,0.18834800760028902,0.6191725097682385,0.8890405459654757,0.04901741014720167,0.23916508917007073,0.4894263581338581
0.5,10,10,0.1,269,81,356,168,0.19148534605947856,0.6147540983606558,0.884730498557446,0.20310768675754373,0.6305210534453435,0.8962762530601727
1,10,10,0.1,309,30,353,74,0.18814735718099307,0.6160068341386583,0.8874472742805275,0.20674203600216323,0.630775173834664,0.8933013984393108
1.5,10,10,0.1,320,10,332,22,0.18807216660420795,0.6198570549026956,0.8889870435806831,0.2022927735755228,0.6208448934722295,0.8829996073812328
2,10,10,0.1,334,0,339,5,0.19017679617389435,0.620119837708574,0.8907727858985383,0.152013881585866,0.5266728013671618,0.7934742598727454
2.5,10,10,0.1,335,1,336,2,0.1926249393498302,0.6177858047820578,0.8810383868880742,0.06652796102709835,0.2910354977036868,0.5462572951027658
0.5,1,1,10,163,197,330,364,0.1887912673056443,0.6168162091642483,0.8881197081846743,0.1905079527963058,0.6146643064214063,0.8812663553799579
1,1,1,10,249,82,331,164,0.19435247247570595,0.6227522343060191,0.8897622957439363,0.2030675624286982,0.6273197444478248,0.8949623507339706
1.5,1,1,10,303,24,332,53,0.19094129011484384,0.6241178522553466,0.8918048623410079,0.19817397920365204,0.6120875497730097,0.8771685096885462
2,1,1,10,363,3,373,13,0.19420615195488922,0.6196215725052114,0.8884197022743673,0.1578516414626033,0.5392528147389969,0.8130453696358658
2.5,1,1,10,305,0,306,1,0.19083908015134032,0.6182042612569097,0.8904333825305246,0.07450273059772533,0.32337099481423953,0.5898136085780138
0.5,1,10,10,212,115,339,242,0.19157619568406734,0.6189180537772087,0.886894123296076,0.1943690116308859,0.6227294853073041,0.8929852428776388
1,1,10,10,284,47,355,118,0.1938764557505501,0.6215215349523682,0.8914233576642335,0.20290740599302426,0.6277050766332298,0.8942892787127327
1.5,1,10,10,316,30,351,65,0.19234488315874296,0.6249429208412797,0.893332975179972,0.20439279785468012,0.6277264136486693,0.8925241999335939
2,1,10,10,323,17,339,33,0.1939508506616257,0.6226741202841016,0.890515285729718,0.19688330452282052,0.612776717064864,0.875041927909797
2.5,1,10,10,332,3,337,8,0.1924834941594718,0.6209302325581395,0.891202651768291,0.1541678425738256,0.5340465927750411,0.8014368184733803
0.5,1,100,10,209,120,342,253,0.1913562008111956,0.6203126678843881,0.8862116205979531,0.19597989949748743,0.6242835082576491,0.8905145788619588
1,1,100,10,231,75,323,167,0.1944549226706903,0.6230431385228895,0.8920564776891572,0.20542321470595926,0.6362114952146855,0.8942234774195236
1.5,1,100,10,247,66,320,139,0.19242131270813193,0.6198737746743656,0.8884621582424665,0.20606531881804044,0.6375489255812747,0.8961584322670952
2,1,100,10,263,57,331,125,0.19173367036867722,0.6215511213897703,0.8895522388059701,0.20231332733581803,0.6298838165741312,0.888569004961057
2.5,1,100,10,286,31,332,77,0.19271810820955548,0.6208542242003379,0.890470827970828,0.20449576914174017,0.6252572016460906,0.883381774222588
0.5,10,1,10,211,152,345,286,0.19089256109952404,0.6262267026766853,0.8984383356508717,0.19582556453283614,0.6229962449825197,0.8935619205469519
1,10,1,10,285,53,347,115,0.1914842175957018,0.6215076294863529,0.8900142385084491,0.2036260794909348,0.6285447337188454,0.8990151515151515
1.5,10,1,10,301,10,322,31,0.19327640546292058,0.6190937988254943,0.8895773281969774,0.19620188890017265,0.6096427755350751,0.8772152541512213
2,10,1,10,331,2,336,7,0.19278300877380697,0.6236524623491961,0.8905355518698839,0.12364486461491034,0.4627103403982017,0.7421642174493885
2.5,10,1,10,328,0,328,0,0.1925060801240078,0.6168751336326705,0.8870239208873446,0.05489574442141202,0.2631938347478295,0.5176694388215496
0.5,10,10,10,238,101,349,212,0.19012180430999867,0.6203084007067516,0.8928332396326935,0.2025813113061435,0.6312243475567257,0.8961742991377976
1,10,10,10,296,52,356,112,0.18994921144079124,0.6169905637680771,0.888553250641574,0.20707548375552773,0.6306492842535787,0.8942968889797797
1.5,10,10,10,335,15,354,34,0.19199377114321,0.6215330916901598,0.8916604016754377,0.20149253731343283,0.6202622230173538,0.8875428104074017
2,10,10,10,336,12,342,18,0.19216599848304258,0.619910605444941,0.8903397085116758,0.15667401738228046,0.5333385222083852,0.8036478738032846
2.5,10,10,10,330,0,331,1,0.1950573936529372,0.6249729904926534,0.8929314210085623,0.07362595899886806,0.32273481913769686,0.5874273639725304
0.5,10,100,10,231,83,338,190,0.1938296445338699,0.624268927402479,0.891449574759209,0.20125426110489475,0.6342250442385761,0.898248627267286
1,10,100,10,262,51,327,116,0.19197938476405219,0.6180710278366843,0.8887576505959411,0.20414462081128748,0.6317727921151601,0.8966125434455569
1.5,10,100,10,279,26,327,74,0.19116622917447904,0.6214609059009455,0.8898799957141327,0.20687345424567188,0.6303233286100735,0.8940846086463647
2,10,100,10,318,15,340,37,0.1884050227090569,0.6152982981110904,0.8886395212140643,0.20601900187930675,0.6301584401346871,0.8914382667710781
2.5,10,100,10,314,2,329,17,0.19138998612149033,0.6147276269784077,0.884428548550686,0.1679756907784616,0.5679851668726823,0.8369601606963508
